condition,replicate,beta_origin,R2_origin,slope,intercept,R2,E0,beta_origin_delta,R2_origin_delta
coherent_bin_bitflip_p0.10,36,8.754756743937943,-6.561009893540339,3.0749102907698256,0.5615404444894248,0.7481246238197141,0.453125,4.171506420033138,0.4060994884945677
coherent_bin_bitflip_p0.10,37,10.745782890853281,-4.280088822800049,4.385850745928201,0.628777406753975,0.8524084466804126,0.4453125,6.24155412425718,0.30426441936925874
coherent_bin_bitflip_p0.10,38,10.022341567704917,-1.6316446838692604,5.014649546964953,0.4950876095645103,0.8793695150460898,0.3984375,5.992242144961039,0.764391130717628
coherent_bin_bitflip_p0.10,39,12.571137206365377,-2.3632067641406898,5.741735161809809,0.6751917488117366,0.7745667055901427,0.3984375,8.541037783621496,0.09274755061140316
coherent_bin_bitflip_p0.10,40,15.348082028660064,-1.2315696316741596,8.001310265246735,0.7263417269472736,0.8709234596347417,0.3359375,11.950155064385815,0.08578128861878886
coherent_bin_bitflip_p0.10,41,9.855245096419983,-1.811683309969606,4.871213978813811,0.4927483642746378,0.9069390268782742,0.3359375,6.457318132145732,0.5766559608060157
coherent_bin_bitflip_p0.10,42,10.05398235991605,-1.7278097175553961,4.998508514194869,0.49981158009077387,0.89567972302778,0.359375,6.418990723715689,0.6489032747597276
coherent_bin_bitflip_p0.10,43,10.87691869415679,-2.701810794316595,4.911169920222508,0.5898062994922552,0.8377278236193639,0.4140625,6.688776156795504,0.45026117909432983
coherent_bin_bitflip_p0.10,44,9.91248345037636,-1.6531763229402565,4.951074074738839,0.4905118560970066,0.8815161788945702,0.34375,6.435534928793405,0.6089668618540727
coherent_bin_bitflip_p0.10,45,10.232567862504954,-1.6362360149023898,5.151503471886524,0.5023416002374118,0.9163298660917364,0.3828125,6.360511554378483,0.7469632348481836
coherent_bin_bitflip_p0.10,46,10.364990437314509,-3.2385427502365554,4.456419802573144,0.5841533583498834,0.8028967376788356,0.3359375,6.967063473040258,-0.17340820755428643
coherent_bin_bitflip_p0.10,47,10.700240370764345,-1.283719958579816,5.578724148344969,0.506340887858514,0.908314801823884,0.3828125,6.828184062637872,0.75485603952842
coherent_bin_bitflip_p0.10,48,10.262531256145708,-1.589871993234917,5.173261028528482,0.503152873815616,0.8976304062439324,0.3984375,6.2324318334018285,0.7699733706323969
coherent_bin_bitflip_p0.10,49,10.498722761692717,-1.8895478911156367,5.15572881151352,0.5282373779689793,0.9105390250892809,0.4375,6.073515552405321,0.8130461674667266
coherent_bin_bitflip_p0.10,50,8.24841215630939,-6.050167465078077,2.895883003866506,0.5291800798116428,0.6889067956426266,0.4765625,3.428097160478475,0.5975210294431043
coherent_bin_bitflip_p0.10,51,12.834442825789756,-1.6348177940566875,6.324438920743049,0.6436143153885389,0.8037821354359637,0.390625,8.88336496035458,0.33094878599921773
coherent_bin_bitflip_p0.10,52,10.605363950256164,-1.8467671909691998,5.230551455181294,0.5313831319943819,0.9126428227809833,0.375,6.812329199438394,0.6283895567682541
coherent_bin_bitflip_p0.10,53,10.182912269209199,-2.0269685754686138,4.872819372477103,0.5249846012734841,0.8444368871513032,0.375,6.38987751839143,0.5590007813108608
coherent_bin_bitflip_p0.10,54,12.72554978709073,-2.361073869994143,5.857584793978361,0.6790042911844852,0.804062317469093,0.390625,8.774471921655554,0.06322874081201835
coherent_bin_bitflip_p0.10,55,12.148088095690607,-1.9429770207330366,5.86879901012488,0.6208045962614692,0.8529388674704926,0.375,8.355053344872836,0.3030085986091309
coherent_bin_bitflip_p0.10,56,10.362830499429363,-2.3660171581612848,4.776910047818458,0.5522544102456413,0.8115509406256814,0.4921875,5.384472388981042,0.760069277056864
coherent_bin_bitflip_p0.10,57,11.413755170866079,-2.3399343417054284,5.2422906021004145,0.610144479374508,0.7882751090018687,0.40625,7.304634190813496,0.3501477315601882
