condition,replicate,n,k,theta,theta2,lambda,sign_changes_half,C,E
coherent_soft_noise_sigma0.05,2,512,32,0.39269908169872414,0.15421256876702122,0.9998934738493938,2,0.521051077001051,0.957897845997898
coherent_soft_noise_sigma0.05,2,512,64,0.7853981633974483,0.6168502750680849,0.9998934738493938,2,0.12769443734539468,1.7446111253092107
coherent_soft_noise_sigma0.10,2,512,0,0.0,0.0,0.9998934738493938,2,0.9955452549961474,0.008909490007705134
coherent_soft_noise_sigma0.10,2,512,1,0.01227184630308513,0.00015059821168654416,0.9998934738493938,2,0.9938785081880483,0.012242983623903303
coherent_soft_noise_sigma0.10,2,512,2,0.02454369260617026,0.0006023928467461766,0.9998934738493938,2,0.9900914984477835,0.019817003104432906
coherent_soft_noise_sigma0.10,2,512,3,0.03681553890925539,0.0013553839051788975,0.9998934738493938,2,0.9841183121653325,0.03176337566933496
coherent_soft_noise_sigma0.10,2,512,4,0.04908738521234052,0.0024095713869847065,0.9998934738493938,2,0.9759155070930942,0.04816898581381168
coherent_soft_noise_sigma0.10,2,512,5,0.06135923151542565,0.003764955292163604,0.9998934738493938,2,0.966780349477413,0.06643930104517404
coherent_soft_noise_sigma0.10,2,512,6,0.07363107781851078,0.00542153562071559,0.9998934738493938,2,0.9543654414950212,0.09126911700995755
coherent_soft_noise_sigma0.10,2,512,8,0.09817477042468103,0.009638285547938826,0.9998934738493938,2,0.9326267009932868,0.13474659801342637
coherent_soft_noise_sigma0.10,2,512,10,0.1227184630308513,0.015059821168654416,0.9998934738493938,2,0.899875617685061,0.20024876462987806
coherent_soft_noise_sigma0.10,2,512,12,0.14726215563702155,0.02168614248286236,0.9998934738493938,2,0.8744810438607615,0.25103791227847694
coherent_soft_noise_sigma0.10,2,512,16,0.19634954084936207,0.038553142191755305,0.9998934738493938,2,0.8098997137754569,0.3802005724490862
